,Código,Estado,UF,Data,CA,CN,OA,ON,Data mmmovel,CA mmovel,OA mmovel,ON mmovel,CN mmovel,Dia x,CAx,OAx,ONx,CNx,CA mmmovelx,OA mmmovelx,ON mmmovelx,CN mmmovelx
659,15,Pará,PA,2020-06-24,94036.0,2328.0,4748.0,22.0,2020-06-24,86858.14285714286,4617.428571428572,50.42857142857143,2487.5714285714284,80.0,94036.0,4748.0,22.0,2328.0,86858.14285714286,4617.428571428572,50.42857142857143,2487.5714285714284
660,15,Pará,PA,2020-06-25,96472.0,2436.0,4803.0,55.0,2020-06-25,89201.0,4665.142857142857,47.714285714285715,2342.8571428571427,81.0,96472.0,4803.0,55.0,2436.0,89201.0,4665.142857142857,47.714285714285715,2342.8571428571427
661,15,Pará,PA,2020-06-26,99313.0,2841.0,4834.0,31.0,2020-06-26,91548.42857142857,4710.142857142857,45.0,2347.4285714285716,82.0,99313.0,4834.0,31.0,2841.0,91548.42857142857,4710.142857142857,45.0,2347.4285714285716
662,15,Pará,PA,2020-06-27,100443.0,1130.0,4845.0,11.0,2020-06-27,93804.0,4747.571428571428,37.42857142857143,2255.5714285714284,83.0,100443.0,4845.0,11.0,1130.0,93804.0,4747.571428571428,37.42857142857143,2255.5714285714284
663,15,Pará,PA,2020-06-28,101207.0,764.0,4870.0,25.0,2020-06-28,95973.57142857143,4785.428571428572,37.857142857142854,2169.5714285714284,84.0,101207.0,4870.0,25.0,764.0,95973.57142857143,4785.428571428572,37.857142857142854,2169.5714285714284
664,15,Pará,PA,2020-06-29,103206.0,1999.0,4920.0,50.0,2020-06-29,98055.0,4820.857142857143,35.42857142857143,2081.4285714285716,85.0,103206.0,4920.0,50.0,1999.0,98055.0,4820.857142857143,35.42857142857143,2081.4285714285716
665,15,Pará,PA,2020-06-30,105853.0,2647.0,4960.0,40.0,2020-06-30,100075.71428571429,4854.285714285715,33.42857142857143,2020.7142857142858,86.0,105853.0,4960.0,40.0,2647.0,100075.71428571429,4854.285714285715,33.42857142857143,2020.7142857142858
666,15,Pará,PA,2020-07-01,108067.0,2214.0,5004.0,44.0,2020-07-01,102080.14285714286,4890.857142857143,36.57142857142857,2004.4285714285713,87.0,108067.0,5004.0,44.0,2214.0,102080.14285714286,4890.857142857143,36.57142857142857,2004.4285714285713
667,15,Pará,PA,2020-07-02,110411.0,2344.0,5050.0,46.0,2020-07-02,104071.42857142857,4926.142857142857,35.285714285714285,1991.2857142857142,88.0,110411.0,5050.0,46.0,2344.0,104071.42857142857,4926.142857142857,35.285714285714285,1991.2857142857142
668,15,Pará,PA,2020-07-03,112531.0,2120.0,5069.0,19.0,2020-07-03,105959.71428571429,4959.714285714285,33.57142857142857,1888.2857142857142,89.0,112531.0,5069.0,19.0,2120.0,105959.71428571429,4959.714285714285,33.57142857142857,1888.2857142857142
669,15,Pará,PA,2020-07-04,113811.0,1280.0,5096.0,27.0,2020-07-04,107869.42857142857,4995.571428571428,35.857142857142854,1909.7142857142858,90.0,113811.0,5096.0,27.0,1280.0,107869.42857142857,4995.571428571428,35.857142857142854,1909.7142857142858
670,15,Pará,PA,2020-07-05,114535.0,724.0,5105.0,9.0,2020-07-05,109773.42857142857,5029.142857142857,33.57142857142857,1904.0,91.0,114535.0,5105.0,9.0,724.0,109773.42857142857,5029.142857142857,33.57142857142857,1904.0
671,15,Pará,PA,2020-07-06,116152.0,1617.0,5128.0,23.0,2020-07-06,111622.85714285714,5058.857142857143,29.714285714285715,1849.4285714285713,92.0,116152.0,5128.0,23.0,1617.0,111622.85714285714,5058.857142857143,29.714285714285715,1849.4285714285713
672,15,Pará,PA,2020-07-07,118744.0,2592.0,5169.0,41.0,2020-07-07,113464.42857142857,5088.714285714285,29.857142857142858,1841.5714285714287,93.0,118744.0,5169.0,41.0,2592.0,113464.42857142857,5088.714285714285,29.857142857142858,1841.5714285714287
673,15,Pará,PA,2020-07-08,120731.0,1987.0,5196.0,27.0,2020-07-08,115273.57142857143,5116.142857142857,27.428571428571427,1809.142857142857,94.0,120731.0,5196.0,27.0,1987.0,115273.57142857143,5116.142857142857,27.428571428571427,1809.142857142857
674,15,Pará,PA,2020-07-09,122674.0,1943.0,5224.0,28.0,2020-07-09,117025.42857142857,5141.0,24.857142857142858,1751.857142857143,95.0,122674.0,5224.0,28.0,1943.0,117025.42857142857,5141.0,24.857142857142858,1751.857142857143
675,15,Pará,PA,2020-07-10,124934.0,2260.0,5274.0,50.0,2020-07-10,118797.28571428571,5170.285714285715,29.285714285714285,1771.857142857143,96.0,124934.0,5274.0,50.0,2260.0,118797.28571428571,5170.285714285715,29.285714285714285,1771.857142857143
676,15,Pará,PA,2020-07-11,125714.0,780.0,5289.0,15.0,2020-07-11,120497.71428571429,5197.857142857143,27.571428571428573,1700.4285714285713,97.0,125714.0,5289.0,15.0,780.0,120497.71428571429,5197.857142857143,27.571428571428573,1700.4285714285713
677,15,Pará,PA,2020-07-12,126509.0,795.0,5293.0,4.0,2020-07-12,122208.28571428571,5224.714285714285,26.857142857142858,1710.5714285714287,98.0,126509.0,5293.0,4.0,795.0,122208.28571428571,5224.714285714285,26.857142857142858,1710.5714285714287
678,15,Pará,PA,2020-07-13,128570.0,2061.0,5318.0,25.0,2020-07-13,123982.28571428571,5251.857142857143,27.142857142857142,1774.0,99.0,128570.0,5318.0,25.0,2061.0,123982.28571428571,5251.857142857143,27.142857142857142,1774.0
679,15,Pará,PA,2020-07-14,130834.0,2264.0,5337.0,19.0,2020-07-14,125709.42857142857,5275.857142857143,24.0,1727.142857142857,100.0,130834.0,5337.0,19.0,2264.0,125709.42857142857,5275.857142857143,24.0,1727.142857142857
680,15,Pará,PA,2020-07-15,133039.0,2205.0,5385.0,48.0,2020-07-15,127467.71428571429,5302.857142857143,27.0,1758.2857142857142,101.0,133039.0,5385.0,48.0,2205.0,127467.71428571429,5302.857142857143,27.0,1758.2857142857142
681,15,Pará,PA,2020-07-16,135164.0,2125.0,5448.0,63.0,2020-07-16,129252.0,5334.857142857143,32.0,1784.2857142857142,102.0,135164.0,5448.0,63.0,2125.0,129252.0,5334.857142857143,32.0,1784.2857142857142
